"building_class","fov","architecture","iteration","train_n","validation_n","test_n","kappa","precision","recall","computation_time(seconds)","test_accuracy","average_accuracy","f_score"
Shop,F60,mobilenet_1.0_224,1,63901,21307,21142,0.0824585100449195,0.9338624338624338,0.09462115796997855,1343,51.71695947647095,71.37075064154232,0.17183190004867757
Shop,F60,mobilenet_1.0_224,2,63726,21482,21142,0.45284960319618084,0.47001763668430335,0.4935185185185185,1332,94.57005262374878,72.13392861550265,0.48148148148148145
Shop,F60,mobilenet_1.0_224,3,64021,21187,21142,0.4297234026514926,0.5670194003527337,0.39520590043023973,1291,93.02336573600769,75.89195362419406,0.4657732705541471
Shop,F90,inception_v3,0,63976,21232,21142,0.24905864148878162,0.8059964726631393,0.1949242908935807,2233,81.10396265983582,80.86609712376074,0.31392752876524127
Shop,F90,inception_v3,1,63901,21307,21142,0.23221891591097477,0.8139329805996472,0.1834625322997416,2436,79.57146763801575,80.43075538743938,0.2994322789943228
Shop,F90,inception_v3,2,63726,21482,21142,0.2935669459244364,0.763668430335097,0.2286166842661035,2628,84.91154909133911,80.88134234842218,0.3518894758228362
Shop,F90,inception_v3,3,64021,21187,21142,0.3231542888569227,0.7239858906525574,0.25473161650636056,2000,87.15826272964478,80.19669557221204,0.37686481523984394
Shop,F90,mobilenet_1.0_224,0,63976,21232,21142,0.04987565988316053,0.9691358024691358,0.07790458637555824,1334,38.30763399600983,65.94979292233724,0.14421625877567087
Shop,F90,mobilenet_1.0_224,1,63901,21307,21142,0.36470774394513095,0.5890652557319224,0.31346785546691697,1650,90.87598323822021,75.7972252016301,0.4091883614088821
Shop,F90,mobilenet_1.0_224,2,63726,21482,21142,0.34588085115589784,0.6137566137566137,0.28963795255930086,1452,89.85431790351868,76.4220370053037,0.39355385920271413
Shop,F90,mobilenet_1.0_224,3,64021,21187,21142,0.38315158676511274,0.42416225749559083,0.4097103918228279,1331,93.63352656364441,69.47630559769037,0.4168110918544194
Shop,F30_60_90,inception_v3,0,191928,63696,63426,0.32342724553793295,0.7548500881834215,0.2519870473947601,5227,86.66635155677795,81.39254439317747,0.37784153608474946
Shop,F30_60_90,inception_v3,1,191703,63921,63426,0.28588827642898895,0.7727807172251616,0.2223819996616478,5239,84.28720235824585,80.98126563601484,0.34537572254335264
Shop,F30_60_90,inception_v3,2,191178,64446,63426,0.2835590891682538,0.7865961199294532,0.2198307730222624,5466,83.88200402259827,81.41880373071228,0.34362760834670947
Shop,F30_60_90,inception_v3,3,192063,63561,63426,0.3012171465752306,0.7724867724867724,0.2336415362731152,4787,85.18903851509094,81.44387747546483,0.35877133105802045
Shop,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.1456381373019837,0.8656672545561435,0.1295416556699217,3264,68.07933449745178,76.79912309032883,0.22535965717783898
Shop,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.11654034985222442,0.8997648442092887,0.11297287322384204,3357,61.56938672065735,74.9679170072124,0.2007410564973604
Shop,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.06218711471632593,0.9553203997648442,0.08413368194879495,3257,43.98038685321808,68.29530827292834,0.15464775998667651
Shop,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.14514613060392073,0.8694885361552028,0.12920980212291966,3062,67.86964535713196,76.8685691508229,0.22498573873359953
